หมู่บ้าน,ตำบล,อำเภอ,จังหวัด,Latitude,Longitude,sea level (m),ความสูงเสา (ม.),ตำแหน่ง
หมู่ 4 เสือร้อง,ปากแพรก,ปากพนัง,นครศรีธรรมราช,8.210070,100.211305,4,9,ผู้ใหญ่บ้าน
หมู่ 3 บางพระ,ปากแพรก,ปากพนัง,นครศรีธรรมราช,8.201472,100.217994,11,9,ผู้ใหญ่บ้าน
หมู่ 2 นานอก,ปากแพรก,ปากพนัง,นครศรีธรรมราช,8.220043,100.218995,5,9,ผู้ใหญ่บ้าน
หมู่ 4 เนินหนองหงส์,เกาะเพชร,หัวไทร,นครศรีธรรมราช,8.171971,100.261365,5,9,ผู้ใหญ่บ้าน
หมู่ 8 ย่านยาว,เกาะเพชร,หัวไทร,นครศรีธรรมราช,8.146675,100.271172,5,9,ผู้ใหญ่บ้าน
หมู่ 1 เสือหึง,ท่าซอม,หัวไทร,นครศรีธรรมราช,8.174757,100.249465,6,9,ผู้ใหญ่บ้าน
หมู่ 5 ด่าน,ท่าซอม,หัวไทร,นครศรีธรรมราช,8.144342,100.268788,4,9,กำนัน
หมู่ 1 ทุ่งทอง,ทุ่งทอง,หนองบัว,นครสวรรค์,15.972100,100.708423,51,9,ผู้ใหญ่บ้าน
หมู่ 11 สระตายม,ทุ่งทอง,หนองบัว,นครสวรรค์,15.971800,100.682300,34,9,ผู้ใหญ่บ้าน
หมู่ 13 หนองลก,ทุ่งทอง,หนองบัว,นครสวรรค์,15.987210,100.694820,36,9,ผู้ใหญ่บ้าน
หมู่ 14 สายฝน,ทุ่งทอง,หนองบัว,นครสวรรค์,15.961670,100.746430,60,9,ผู้ใหญ่บ้าน
หมู่ 3 ไทรงาม,ทุ่งทอง,หนองบัว,นครสวรรค์,15.990300,100.729700,44,9,ผู้ใหญ่บ้าน
หมู่ 4 บ้านวังงิ้ว,วังงิ้วใต้,ดงเจริญ,พิจิตร,16.038831,100.626155,56,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 5 บ้านวังเรือน,วังงิ้วใต้,ดงเจริญ,พิจิตร,16.030031,100.666606,61,9,ผู้ใหญ่บ้าน
หมู่ 6 บ้านวังกะทะ,วังงิ้วใต้,ดงเจริญ,พิจิตร,16.024733,100.686663,66,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 7 บ้านใหม่วังเรือง,วังงิ้วใต้,ดงเจริญ,พิจิตร,16.030507,100.655966,61,9,ผู้ใหญ่บ้าน
หมู่ 5 โคกสาร,ซับพุทรา,ชนแดน,เพชรบูรณ์,16.024312,100.884216,117,9,ผู้ใหญ่บ้าน
